id	cscount	csrep	cscount90	csrep90	cspctrep	cspctrep90	csname
0102591260	1	1	0	0	100.0	0.0	Fulton
0102591440	10	6	0	0	60.0	0.0	Grove Hill
0102591726	3	0	0	0	0.0	0.0	Jackson
0102593132	6	0	0	0	0.0	0.0	Thomasville
0102593362	2	0	0	0	0.0	0.0	Walker Springs
0102790126	5	0	0	0	0.0	0.0	Ashland
0102791899	6	1	0	0	16.7	0.0	Lineville
0102792142	1	0	0	0	0.0	0.0	Millerville-Hollins
0102991251	3	0	0	0	0.0	0.0	Fruithurst
0102991593	16	2	0	0	12.5	0.0	Heflin
0102992682	4	0	0	0	0.0	0.0	Ranburne
0103190954	9	2	0	0	22.2	0.0	Elba
0103190999	368	71	6	1	19.3	16.7	Enterprise
0103191341	15	3	0	0	20.0	0.0	Goodman
0103191719	4	1	0	0	25.0	0.0	Jack
0103191800	1	0	0	0	0.0	0.0	Kinston
0103193303	1	0	0	0	0.0	0.0	Victoria
0103390567	3	1	0	0	33.3	0.0	Cherokee
0103391863	17	3	0	0	17.6	0.0	Leighton
0103391926	35	7	0	0	20.0	0.0	Littleville
0103393186	87	18	0	0	20.7	0.0	Tri-Cities
0103590504	3	1	0	0	33.3	0.0	Castleberry
0103591044	17	6	1	0	35.3	0.0	Evergreen
0103592016	5	2	0	0	40.0	0.0	Lyeffion
0103592718	0	0	0	0	0.0	0.0	Repton
0103592916	1	0	0	0	0.0	0.0	Shreve
0103791350	3	2	0	0	66.7	0.0	Goodwater-Kellyton
0103792763	5	2	0	0	40.0	0.0	Rockford
0103793429	0	0	0	0	0.0	0.0	Weogufka-Marble Valley
0103990090	52	17	0	0	32.7	0.0	Andalusia
0103991062	7	3	0	0	42.9	0.0	Falco
0103991134	6	5	0	0	83.3	0.0	Florala
0103992448	16	1	1	0	6.3	0.0	Opp
0103992781	11	0	0	0	0.0	0.0	Rose Hill-Gantt
0104190360	12	0	0	0	0.0	0.0	Brantley
0104192007	7	1	0	0	14.3	0.0	Luverne
0104192529	0	0	0	0	0.0	0.0	Petrey-Highland Home
0104390180	22	5	1	0	22.7	0.0	Baileyton-Joppa
0104390369	8	2	0	0	25.0	0.0	Bremen
0104390774	0	0	0	0	0.0	0.0	Crane Hill
0104390810	77	21	0	0	27.3	0.0	Cullman
0104391521	12	4	0	0	33.3	0.0	Hanceville
0104391647	13	2	0	0	15.4	0.0	Holly Pond
0104391773	7	1	0	0	14.3	0.0	Jones Chapel
0104391962	5	1	0	0	20.0	0.0	Logan
0104392934	37	7	0	0	18.9	0.0	Simcoe
0104393330	21	1	0	0	4.8	0.0	Vinemont
0104393420	7	2	0	0	28.6	0.0	Welti
0104590828	116	23	2	0	19.8	0.0	Daleville
0104590936	4	2	0	0	50.0	0.0	Echo
0104591215	0	0	0	0	0.0	0.0	Fort Rucker
0104592376	37	8	0	0	21.6	0.0	Newton-Midland City
0104592466	32	3	2	2	9.4	100.0	Ozark
0104790486	0	0	0	0	0.0	0.0	Carlowville
0104792457	0	0	0	0	0.0	0.0	Orrville
0104792808	0	0	0	0	0.0	0.0	Safford
0104792844	0	0	0	0	0.0	0.0	Sardis
0104792880	14	3	1	0	21.4	0.0	Selma
0104792883	2	1	0	0	50.0	0.0	Selmont-Tyler
0104990693	53	18	3	1	34.0	33.3	Collinsville
0104990792	207	37	0	0	17.9	0.0	Crossville
0104991206	239	93	1	0	38.9	0.0	Fort Payne
0104991269	20	11	0	0	55.0	0.0	Fyffe
0104991323	70	11	0	0	15.7	0.0	Geraldine
0104991611	8	3	0	0	37.5	0.0	Henagar
0104991692	8	1	0	0	12.5	0.0	Ider
0104992655	36	10	0	0	27.8	0.0	Rainsville-Sylvania
0104993276	12	4	0	0	33.3	0.0	Valley Head-Mentone
0105190855	16	3	0	0	18.8	0.0	Deatsville
0105190945	7	5	0	0	71.4	0.0	Eclectic
0105190972	142	40	1	0	28.2	0.0	Elmore
0105193087	24	20	1	0	83.3	0.0	Elmore County-Tallassee
0105193141	5	2	0	0	40.0	0.0	Titus
0105193456	41	14	0	0	34.1	0.0	Wetumpka
0105390153	5	1	0	0	20.0	0.0	Atmore
0105390378	14	4	0	0	28.6	0.0	Brewton
0105390927	8	3	0	0	37.5	0.0	East Escambia
0105391125	7	0	0	0	0.0	0.0	Flomaton
0105392034	2	0	0	0	0.0	0.0	McCullough-Huxford
0105590081	13	1	0	0	7.7	0.0	Altoona
0105591278	292	58	0	0	19.9	0.0	Gadsden
0105591638	56	14	0	0	25.0	0.0	Hokes Bluff
0105591980	25	5	0	0	20.0	0.0	Lookout Mountain
0105592268	45	5	0	0	11.1	0.0	Mountainboro
0105593213	18	3	0	0	16.7	0.0	Turkeytown
0105593465	2	1	0	0	50.0	0.0	Wills Valley
0105790279	0	0	0	0	0.0	0.0	Berry
0105791089	2	0	0	0	0.0	0.0	Fayette
0105792380	0	0	0	0	0.0	0.0	Northeast Fayette
0105793495	6	0	0	0	0.0	0.0	Winfield-Glen Allen
0105992547	34	7	0	0	20.6	0.0	Phil Campbell
0105992691	15	3	0	0	20.0	0.0	Red Bay
0105992799	470	113	1	1	24.0	100.0	Russellville
0105993312	0	0	0	0	0.0	0.0	Vina
0106190252	3	0	0	0	0.0	0.0	Bellwood-Coffee Springs
0106191305	11	0	0	0	0.0	0.0	Geneva
0106191530	10	3	0	0	30.0	0.0	Hartford
0106192835	28	3	1	0	10.7	0.0	Samson
0106192952	29	4	0	0	13.8	0.0	Slocomb
0106390342	0	0	0	0	0.0	0.0	Boligee
0106391026	0	0	0	0	0.0	0.0	Eutaw
0106391179	0	0	0	0	0.0	0.0	Forkland-Tishabee
0106392088	0	0	0	0	0.0	0.0	Mantua-West Greene
0106591413	4	0	0	0	0.0	0.0	Greensboro
0106591414	2	0	0	0	0.0	0.0	Greensboro Northeast
0106591415	2	1	0	0	50.0	0.0	Greensboro South
0106592259	8	1	0	0	12.5	0.0	Moundville
0106592345	7	5	0	0	71.4	0.0	Newbern
0106592853	1	0	0	0	0.0	0.0	Sawyerville
0106593015	1	0	0	0	0.0	0.0	Stewart-Akron
0106790009	1	0	0	0	0.0	0.0	Abbeville
0106791485	2	0	0	0	0.0	0.0	Haleburg
0106791584	16	3	0	0	18.8	0.0	Headland-Newville
0106792907	0	0	0	0	0.0	0.0	Shorterville
0106990702	2	0	0	0	0.0	0.0	Columbia
0106990747	16	3	0	0	18.8	0.0	Cottonwood
0106990900	430	92	5	0	21.4	0.0	Dothan
0106991368	0	0	0	0	0.0	0.0	Gordon
0106992070	43	9	1	0	20.9	0.0	Madrid
0107190387	1	1	0	0	100.0	0.0	Bridgeport
0107191971	3	2	0	0	66.7	0.0	Long Island
0107192475	2	1	0	0	50.0	0.0	Paint Rock
0107192610	6	3	0	0	50.0	0.0	Pisgah
0107192637	3	1	0	0	33.3	0.0	Princeton
0107192862	72	29	0	0	40.3	0.0	Scottsboro
0107192871	8	2	0	0	25.0	0.0	Section
0107193006	17	9	0	0	52.9	0.0	Stevenson
0107390324	4,296	826	32	3	19.2	9.4	Birmingham
0107390405	6	2	0	0	33.3	0.0	Brookside
0107390621	47	17	0	0	36.2	0.0	Clay
0107390722	31	7	1	0	22.6	0.0	Concord-Rock Creek
0107391296	65	17	0	0	26.2	0.0	Gardendale
0107391404	63	14	0	0	22.2	0.0	Graysville-Adamsville
0107391431	106	27	1	1	25.5	100.0	Greenwood
0107391656	143	42	1	0	29.4	0.0	Hoover
0107391791	17	6	0	0	35.3	0.0	Kimberly-Morris
0107391845	49	20	1	0	40.8	0.0	Leeds
0107392124	11	2	0	0	18.2	0.0	Maytown-Sylvan Springs
0107392385	18	1	0	0	5.6	0.0	North Johns
0107392484	20	7	0	0	35.0	0.0	Palmerdale
0107392745	2	0	0	0	0.0	0.0	Robbins Crossroads
0107393204	48	16	1	0	33.3	0.0	Trussville
0107393366	3	0	0	0	0.0	0.0	Warrior
0107393447	12	3	0	0	25.0	0.0	West Jefferson
0107592151	0	0	0	0	0.0	0.0	Millport
0107593033	1	0	0	0	0.0	0.0	Sulligent
0107593294	2	0	0	0	0.0	0.0	Vernon
0107790657	6	2	0	0	33.3	0.0	Cloverdale
0107791143	185	41	0	0	22.2	0.0	Florence
0107791782	2	0	0	0	0.0	0.0	Killen
0107791872	0	0	0	0	0.0	0.0	Lexington
0107792412	4	1	0	0	25.0	0.0	Oakland
0107792772	2	0	0	0	0.0	0.0	Rogersville
0107793384	4	2	0	0	50.0	0.0	Waterloo
0107991548	3	0	0	0	0.0	0.0	Hatton
0107991629	3	0	0	0	0.0	0.0	Hillsboro
0107992241	25	8	0	0	32.0	0.0	Morris Chapel
0107992250	4	1	0	0	25.0	0.0	Moulton
0107992286	1	0	0	0	0.0	0.0	Mount Hope
0107992979	10	2	0	0	20.0	0.0	Speake-Oakville
0107993159	4	0	0	0	0.0	0.0	Town Creek-Courtland
0108190162	1,035	227	18	2	21.9	11.1	Auburn-Opelika
0108190243	92	18	0	0	19.6	0.0	Beauregard-Marvyn
0108190288	192	28	1	0	14.6	0.0	Beulah
0108191944	69	15	1	0	21.7	0.0	Loachapoka-Roxana
0108192962	74	16	0	0	21.6	0.0	Smiths Station
0108390144	640	128	3	0	20.0	0.0	Athens
0108392232	57	34	0	0	59.6	0.0	Mooresville
0108392817	16	5	0	0	31.3	0.0	Salem
0108590270	0	0	0	0	0.0	0.0	Benton-Collirene
0108591197	0	0	0	0	0.0	0.0	Fort Deposit
0108591566	3	0	0	0	0.0	0.0	Hayneville
0108591998	0	0	0	0	0.0	0.0	Lowndesboro
0108592245	0	0	0	0	0.0	0.0	Mosses
0108791188	0	0	0	0	0.0	0.0	Fort Davis
0108791917	9	2	0	0	22.2	0.0	Little Texas-Society Hill
0108792403	9	2	1	0	22.2	0.0	Notasulga
0108792898	0	0	0	0	0.0	0.0	Shorter-Hardaway
0108793230	3	1	2	0	33.3	0.0	Tuskegee
0108793376	4	1	0	0	25.0	0.0	Warriorstand-Creek Stand
0108991467	12	6	0	0	50.0	0.0	Gurley
0108991575	36	6	0	0	16.7	0.0	Hazel Green
0108991674	1,503	293	13	3	19.5	23.1	Huntsville
0108992052	197	77	7	1	39.1	14.3	Madison
0108992061	67	15	1	1	22.4	100.0	Madison Crossroads
0108992349	23	5	0	0	21.7	0.0	New Hope
0108992358	23	9	0	0	39.1	0.0	New Market
0108992695	1	1	0	0	100.0	0.0	Redstone Arsenal
0108993176	27	9	0	0	33.3	0.0	Triana
0109190873	33	7	0	0	21.2	0.0	Demopolis
0109190882	0	0	0	0	0.0	0.0	Dixons Mill
0109191080	0	0	0	0	0.0	0.0	Faunsdale
0109191890	5	2	0	0	40.0	0.0	Linden
0109193051	0	0	0	0	0.0	0.0	Sweet Water
0109193123	0	0	0	0	0.0	0.0	Thomaston
0109390225	22	4	0	0	18.2	0.0	Bear Creek
0109390297	4	1	0	0	25.0	0.0	Bexar
0109390396	2	0	0	0	0.0	0.0	Brilliant
0109391449	0	0	0	0	0.0	0.0	Guin
0109391476	5	1	0	0	20.0	0.0	Hackleburg
0109391512	29	8	0	0	27.6	0.0	Hamilton
0109393492	11	0	0	0	0.0	0.0	Winfield
0109590054	1,681	299	13	0	17.8	0.0	Albertville-Boaz
0109590108	31	7	0	0	22.6	0.0	Arab
0109590918	136	34	1	0	25.0	0.0	Douglas
0109591395	28	8	0	0	28.6	0.0	Grant
0109591458	262	48	1	0	18.3	0.0	Guntersville
0109593150	77	12	0	0	15.6	0.0	Town Creek
0109593240	22	4	0	0	18.2	0.0	Union Grove
0109790216	48	24	0	0	50.0	0.0	Bayou La Batre
0109790594	32	4	0	0	12.5	0.0	Citronelle
0109791386	134	49	2	2	36.6	100.0	Grand Bay
0109792187	971	256	9	1	26.4	11.1	Mobile
0109792304	16	5	0	0	31.3	0.0	Mount Vernon
0109792889	120	42	0	0	35.0	0.0	Semmes
0109793105	345	126	1	0	36.5	0.0	Tanner Williams
0109793114	149	39	1	0	26.2	0.0	Theodore
0109990234	0	0	0	0	0.0	0.0	Beatrice
0109991233	1	0	0	0	0.0	0.0	Frisco City
0109992196	1	0	0	0	0.0	0.0	Monroeville
0109992520	0	0	0	0	0.0	0.0	Peterman
0109993267	0	0	0	0	0.0	0.0	Uriah
0109993339	0	0	0	0	0.0	0.0	Vredenburgh
0110191665	55	12	0	0	21.8	0.0	Hope Hull
0110192214	1,845	438	14	0	23.7	0.0	Montgomery
0110192295	49	19	0	0	38.8	0.0	Mount Meigs
0110192565	148	39	1	0	26.4	0.0	Pike Road
0110192592	0	0	0	0	0.0	0.0	Pine Level
0110192673	0	0	0	0	0.0	0.0	Ramer
0110390837	24	4	1	0	16.7	0.0	Danville
0110390864	1,038	235	5	1	22.6	20.0	Decatur
0110391035	8	2	0	0	25.0	0.0	Eva
0110391071	6	1	0	0	16.7	0.0	Falkville
0110391539	71	15	1	1	21.1	100.0	Hartselle
0110391809	39	4	0	0	10.3	0.0	Laceys Spring
0110392970	36	9	0	0	25.0	0.0	Somerville
0110591503	0	0	0	0	0.0	0.0	Hamburg
0110591602	0	0	0	0	0.0	0.0	Heiberger
0110592115	4	1	0	0	25.0	0.0	Marion
0110592997	2	0	0	0	0.0	0.0	Sprott
0110593258	0	0	0	0	0.0	0.0	Uniontown
0110790072	21	9	3	2	42.9	66.7	Aliceville
0110790495	9	2	0	0	22.2	0.0	Carrollton
0110791008	0	0	0	0	0.0	0.0	Ethelsville
0110791359	14	1	1	0	7.1	0.0	Gordo
0110792700	5	0	0	0	0.0	0.0	Reform
0110990198	2	1	0	0	50.0	0.0	Banks-Josie
0110990432	4	1	0	0	25.0	0.0	Brundidge
0110991377	4	1	0	0	25.0	0.0	Goshen-Shady Grove
0110991620	8	3	0	0	37.5	0.0	Henderson-Spring Hill
0110992340	4	2	0	0	50.0	0.0	Needmore
0110993195	43	19	0	0	44.2	0.0	Troy
0111191161	12	1	0	0	8.3	0.0	Folsom
0111192736	6	3	0	0	50.0	0.0	Roanoke
0111193348	2	1	0	0	50.0	0.0	Wadley
0111193411	19	1	0	0	5.3	0.0	Wedowee
0111193501	7	1	0	0	14.3	0.0	Woodland
0111390738	3	1	0	0	33.3	0.0	Cottonton-Seale
0111390783	18	4	0	0	22.2	0.0	Crawford
0111391683	0	0	0	0	0.0	0.0	Hurtsboro
0111392538	143	34	1	0	23.8	0.0	Phenix City
0111590135	14	1	0	0	7.1	0.0	Ashville
0111592223	55	20	0	0	36.4	0.0	Moody
0111592511	28	10	0	0	35.7	0.0	Pell City
0111592646	4	1	0	0	25.0	0.0	Ragland
0111592988	20	6	0	0	30.0	0.0	Springville
0111790036	831	241	5	2	29.0	40.0	Alabaster-Helena
0111790450	61	18	2	1	29.5	50.0	Calera
0111790558	87	25	1	0	28.7	0.0	Chelsea
0111790711	36	10	0	0	27.8	0.0	Columbiana
0111792205	124	46	0	0	37.1	0.0	Montevallo
0111793321	6	2	0	0	33.3	0.0	Vincent
0111793474	1	1	0	0	100.0	0.0	Wilsonville
0111990261	0	0	0	0	0.0	0.0	Belmont
0111990801	0	0	0	0	0.0	0.0	Cuba
0111991287	0	0	0	0	0.0	0.0	Gainesville
0111991935	2	0	0	0	0.0	0.0	Livingston
0111992493	1	0	0	0	0.0	0.0	Panola-Geiger
0111993510	0	0	0	0	0.0	0.0	York
0112190576	13	6	1	1	46.2	100.0	Childersburg
0112191879	1	1	0	0	100.0	0.0	Lincoln
0112192322	41	6	1	1	14.6	100.0	Munford
0112192709	2	0	0	0	0.0	0.0	Renfroe-Laniers
0112193060	4	1	0	0	25.0	0.0	Sycamore-Winterboro
0112193069	34	13	0	0	38.2	0.0	Sylacauga
0112193078	34	4	0	0	11.8	0.0	Talladega
0112390063	83	27	0	0	32.5	0.0	Alexander City
0112390468	3	1	0	0	33.3	0.0	Camp Hill
0112390819	8	3	0	0	37.5	0.0	Dadeville
0112392367	4	1	0	0	25.0	0.0	New Site
0112393096	19	13	1	0	68.4	0.0	Tallapoosa County-Tallassee
0112590018	32	10	0	0	31.3	0.0	Abernant
0112590306	33	7	0	0	21.2	0.0	Big Sandy-Duncanville
0112590423	19	3	0	0	15.8	0.0	Brookwood
0112590666	57	14	0	0	24.6	0.0	Coaling-Vance
0112590684	16	8	0	0	50.0	0.0	Coker
0112590981	10	7	0	0	70.0	0.0	Elrod-Moores Bridge-Echola
0112591224	1	1	0	0	100.0	0.0	Fosters
0112592389	238	65	0	0	27.3	0.0	Northport
0112592826	12	6	0	0	50.0	0.0	Samantha
0112593222	413	83	0	0	20.1	0.0	Tuscaloosa
0112593483	7	3	0	0	42.9	0.0	Windham Springs
0112790477	4	0	0	0	0.0	0.0	Carbon Hill
0112790729	8	3	0	0	37.5	0.0	Cordova
0112790891	5	1	0	0	20.0	0.0	Dora
0112790990	0	0	0	0	0.0	0.0	Empire
0112791755	148	38	0	0	25.7	0.0	Jasper
0112792079	4	1	0	0	25.0	0.0	Manchester
0112792331	3	2	0	0	66.7	0.0	Nauvoo
0112792421	2	0	0	0	0.0	0.0	Oakman
0112792502	7	2	0	0	28.6	0.0	Parrish
0112792642	0	0	0	0	0.0	0.0	Quinton-Wegra
0112792943	14	6	0	0	42.9	0.0	Sipsey
0112793168	4	1	0	0	25.0	0.0	Townley
0112990549	1	0	0	0	0.0	0.0	Chatom
0112991242	1	0	0	0	0.0	0.0	Fruitdale
0112992043	1	0	0	0	0.0	0.0	McIntosh
0112992160	3	0	0	0	0.0	0.0	Millry
0112993357	0	0	0	0	0.0	0.0	Wagarville
0113190045	0	0	0	0	0.0	0.0	Alberta
0113190459	5	0	0	0	0.0	0.0	Camden
0113190756	0	0	0	0	0.0	0.0	Coy-Fatama
0113192574	0	0	0	0	0.0	0.0	Pine Apple
0113192583	0	0	0	0	0.0	0.0	Pine Hill
0113390027	5	0	0	0	0.0	0.0	Addison
0113390909	3	1	0	0	33.3	0.0	Double Springs
0113391494	50	9	1	0	18.0	0.0	Haleyville
0113392025	4	1	0	0	25.0	0.0	Lynn
0201301598	1	0	0	0	0.0	0.0	Aleutians East census
0201601615	4	2	2	0	50.0	0.0	Aleutians West census
0202003050	461	203	16	1	44.0	6.3	Anchorage census
0205003580	0	0	0	0	0.0	0.0	Aniak census
0205045510	1	0	1	0	0.0	0.0	Lower Kuskokwim census
0206009050	1	0	0	0	0.0	0.0	Bristol Bay census
0206818765	0	0	0	0	0.0	0.0	Denali census
0207019000	0	0	0	0	0.0	0.0	Dillingham census
0209024450	73	22	4	2	30.1	50.0	Fairbanks North Star census
0210031160	0	0	0	0	0.0	0.0	Haines census
0210533390	0	0	0	0	0.0	0.0	Hoonah-Angoon census
0210540560	0	0	0	0	0.0	0.0	Klukwan census
0211036450	28	13	0	0	46.4	0.0	Juneau census
0212238460	8	2	2	1	25.0	50.0	Kenai-Cook Inlet census
0212268610	0	0	0	0	0.0	0.0	Seward-Hope census
0213039010	4	3	0	0	75.0	0.0	Ketchikan census
0215041200	8	1	0	0	12.5	0.0	Kodiak Island census
0215842185	0	0	0	0	0.0	0.0	Kusilvak census
0216442780	0	0	0	0	0.0	0.0	Lake and Peninsula census
0217047440	21	15	0	0	71.4	0.0	Matanuska-Susitna census
0218054970	2	2	0	0	100.0	0.0	Nome census
0218555970	0	0	0	0	0.0	0.0	North Slope census
0218856270	0	0	0	0	0.0	0.0	Northwest Arctic census
0219560360	0	0	0	0	0.0	0.0	Petersburg census
0219834575	0	0	0	0	0.0	0.0	Hyder census
0219848873	0	0	0	0	0.0	0.0	Metlakatla Indian Community census
0219864310	0	0	0	0	0.0	0.0	Prince of Wales census
0222070590	1	1	0	0	100.0	0.0	Sitka census
0223070810	0	0	0	0	0.0	0.0	Skagway census
0224072030	0	0	0	0	0.0	0.0	Southeast Fairbanks census
0226114420	0	0	0	0	0.0	0.0	Chugach census
0226117350	0	0	0	0	0.0	0.0	Copper River census
0227586420	0	0	0	0	0.0	0.0	Wrangell census
0228286498	0	0	0	0	0.0	0.0	Yakutat census
0229042080	0	0	0	0	0.0	0.0	Koyukuk-Middle Yukon census
0229046060	0	0	0	0	0.0	0.0	McGrath-Holy Cross census
0229086690	0	0	0	0	0.0	0.0	Yukon Flats census
0400190612	0	0	0	0	0.0	0.0	Chinle
0400190918	0	0	0	0	0.0	0.0	Dennehotso
0400191071	5	0	0	0	0.0	0.0	Eagar-Springerville
0400191275	0	0	0	0	0.0	0.0	Apache County-Fort Apache
0400191326	0	0	0	0	0.0	0.0	Fort Defiance
0400192805	0	0	0	0	0.0	0.0	Puerco
0400192958	3	1	0	0	33.3	0.0	Apache County-St. Johns
0400193315	0	0	0	0	0.0	0.0	Sweetwater
0400390255	6	1	5	0	16.7	0.0	Benson
0400390306	3	0	0	0	0.0	0.0	Bisbee
0400390408	1	0	0	0	0.0	0.0	Bowie
0400390969	3	2	0	0	66.7	0.0	Douglas
0400391122	3	0	3	0	0.0	0.0	Elfrida
0400393182	16	6	0	0	37.5	0.0	Sierra Vista
0400393825	9	2	0	0	22.2	0.0	Willcox
0400591198	205	68	3	2	33.2	66.7	Flagstaff
0400591530	0	0	0	0	0.0	0.0	Havasupai
0400591581	0	0	0	0	0.0	0.0	Coconino County-Hopi
0400591683	0	0	0	0	0.0	0.0	Hualapai
0400591838	1	0	0	0	0.0	0.0	Kaibab Plateau
0400593519	15	8	0	0	53.3	0.0	Tuba City
0400593876	30	25	1	0	83.3	0.0	Williams
0400791277	0	0	0	0	0.0	0.0	Gila County-Fort Apache
0400791495	11	3	0	0	27.3	0.0	Globe-Miami
0400792570	43	17	2	1	39.5	50.0	Payson
0400793109	0	0	0	0	0.0	0.0	Gila County-San Carlos
0400793470	2	1	0	0	50.0	0.0	Tonto Basin
0400793927	3	0	0	0	0.0	0.0	Winkelman
0400990357	3	1	0	0	33.3	0.0	Bonita-Klondyke
0400992652	3	3	0	0	100.0	0.0	Pima
0400992907	14	8	2	0	57.1	0.0	Safford
0400993111	0	0	0	0	0.0	0.0	Graham County-San Carlos
0401190663	0	0	0	0	0.0	0.0	Clifton
0401191020	0	0	0	0	0.0	0.0	Duncan
0401292480	30	18	1	0	60.0	0.0	Parker
0401390459	369	154	9	7	41.7	77.8	Buckeye
0401390561	1,027	447	37	7	43.5	18.9	Chandler
0401390867	272	125	13	4	46.0	30.8	Deer Valley
0401391377	119	45	2	1	37.8	50.0	Gila Bend
0401392601	24,742	9,657	610	151	39.0	24.8	Phoenix
0401393009	16	8	0	0	50.0	0.0	Maricopa County-St. Johns
0401393060	10	5	0	0	50.0	0.0	Salt River
0401393472	1	0	0	0	0.0	0.0	Tonto National Forest
0401393774	124	45	6	3	36.3	50.0	Wickenburg
0401590470	166	51	1	0	30.7	0.0	Bullhead City
0401591885	63	36	2	0	57.1	0.0	Kingman
0401591964	71	36	3	0	50.7	0.0	Lake Havasu City
0401592340	5	1	0	0	20.0	0.0	North Mohave
0401791279	0	0	0	0	0.0	0.0	Navajo County-Fort Apache
0401791632	0	0	0	0	0.0	0.0	Navajo County-Hopi
0401791785	0	0	0	0	0.0	0.0	Indian Wells
0401791860	0	0	0	0	0.0	0.0	Kayenta
0401792703	0	0	0	0	0.0	0.0	Piñon
0401793213	70	13	2	1	18.6	50.0	Snowflake
0401793952	0	0	0	0	0.0	0.0	Winslow-Holbrook
0401990051	9	1	1	0	11.1	0.0	Ajo
0401990153	55	29	1	1	52.7	100.0	Arivaca
0401992040	21	11	0	0	52.4	0.0	Marana
0401993375	2	0	0	0	0.0	0.0	Pima County-Tohono O'odham Nation
0401993570	1,269	512	79	42	40.3	53.2	Tucson
0402190510	115	48	3	0	41.7	0.0	Casa Grande
0402190816	38	10	3	1	26.3	33.3	Coolidge
0402191173	1,081	499	524	214	46.2	40.8	Eloy
0402191224	647	331	310	150	51.2	48.4	Florence
0402191428	5	1	0	0	20.0	0.0	Gila River
0402192091	200	85	2	1	42.5	50.0	Maricopa-Stanfield
0402192346	297	99	21	9	33.3	42.9	North Pinal
0402193162	21	0	5	0	0.0	0.0	San Manuel
0402193377	1	0	0	0	0.0	0.0	Pinal County-Tohono O'odham Nation
0402392295	26	9	1	0	34.6	0.0	Nogales
0402392550	0	0	0	0	0.0	0.0	Patagonia
0402590204	5	5	0	0	100.0	0.0	Ash Fork
0402590484	85	53	1	1	62.4	100.0	Camp Verde-Sedona
0402590765	6	3	0	0	50.0	0.0	Congress
